Numberofyearsinsameposition,PerformanceofCandidatelastyear,Performanceofcandidatethe2yearsago,CurrentperformanceofDepartment,Projectionofdepartmentforcurrentyear,Numberofpromotionsplannedcurrentyear,Numberofpotentialcandidateseligibleforpromotion,IsEligible
5,2,2,0.7,0.6,15,10,1
5,5,5,0.7,0.6,15,10,0
4,3,2,0.7,0.6,15,10,0
4,1,1,0.7,0.6,15,10,1
3,1,1,0.7,0.6,15,10,1
3,4,4,0.7,0.6,15,10,0
2,1,1,0.7,0.6,15,10,0
2,3,2,0.7,0.6,15,10,0
1,1,1,0.7,0.6,15,10,0
1,2,3,0.7,0.6,15,10,0
5,2,2,0.4,0.3,5,9,1
5,5,5,0.4,0.3,5,9,0
4,3,2,0.4,0.3,5,9,0
4,1,1,0.4,0.3,5,9,1
3,1,1,0.4,0.3,5,9,0
3,4,4,0.4,0.3,5,9,0
2,1,1,0.4,0.3,5,9,0
2,3,2,0.4,0.3,5,9,0
1,1,1,0.4,0.3,5,9,0
1,2,3,0.4,0.3,5,9,0
